ID,Mnemónico_PE,Nombre,Descripción,Tipo,Long.,Códigos válidos,Clases,,Catálogo,Comentarios,SubNombre,Hoja,,,,,,,,,,,,,,,,,,,,,,,
1,UPM,"Unidad Primaria de
Muestreo",Identificación de la vivienda en muestra,Caracter,7,0100001..3260039,,,,Llave y variables de identificación de la vivienda,Identificación de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
2,VIV_SEL,Vivienda seleccionada,Identificador de la vivienda seleccionada en la UPM,Caracter,2,01..10,,,,Llave y variables de identificación de la vivienda,Identificación de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
3,LLAVE_VIV,Llave de vivienda,Clave única de identificación de la vivienda (UPM+VIV_SEL),Caracter,9,010000305….326079818,,,,Llave y variables de identificación de la vivienda,Identificación de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
3,LLAVE_VIV,Llave de vivienda,Clave única de identificación de la vivienda (UPM+VIV_SEL),Caracter,9,010000305….326079818,,,,Llave y variables de identificación de la vivienda,Identificación de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
4,ENT,Entidad federativa,Clave de Entidad Federativa de levantamiento de la información,Caracter,2,01…32,01…32,Entidad Federativa,TC_ENTIDADES,,Variables geográficas,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
5,TAM_LOC,Tamaño de localidad,Clave de tamaño de localidad,Caracter,1,1…4,1,Localidad de 100 000 y más habitantes,TC_ENTIDADES,,Variables geográficas,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
5,TAM_LOC,Tamaño de localidad,Clave de tamaño de localidad,Caracter,1,1…4,2,Localidad de 15 000 a 99 999 habitantes,TC_ENTIDADES,,Variables geográficas,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
5,TAM_LOC,Tamaño de localidad,Clave de tamaño de localidad,Caracter,1,1…4,3,Localidad de 2 500 a 14 999 habitantes,TC_ENTIDADES,,Variables geográficas,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
5,TAM_LOC,Tamaño de localidad,Clave de tamaño de localidad,Caracter,1,1…4,4,Localidad menor de 2 500 habitantes,TC_ENTIDADES,,Variables geográficas,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
5,TAM_LOC,Tamaño de localidad,Clave de tamaño de localidad,Caracter,1,1…4,4,Localidad menor de 2 500 habitantes,TC_ENTIDADES,,Variables geográficas,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
5,TAM_LOC,Tamaño de localidad,Clave de tamaño de localidad,Caracter,1,1…4,4,Localidad menor de 2 500 habitantes,TC_ENTIDADES,,Variables geográficas,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,01,Material de desecho ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,02,Lámina de cartón ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,03,Lámina metálica ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,04,Lámina de asbesto ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,05,Palma o paja ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,06,Madera o tejamanil ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,07,Terrado con viguería ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,08,Teja ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
6,P1_1,Techos,"¿De qué material es la mayor parte
del techo de esta vivienda?",Caracter,2,01…09,09,Losa de concreto o viguetas con bovedilla ,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
7,P1_2,Pisos,¿De qué material es la mayor parte del piso de esta vivienda?,Caracter,1,1...3,1,Tierra,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
7,P1_2,Pisos,¿De qué material es la mayor parte del piso de esta vivienda?,Caracter,1,1...3,2,Cemento o firme,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
7,P1_2,Pisos,¿De qué material es la mayor parte del piso de esta vivienda?,Caracter,1,1...3,3,"Madera, mosaico u otro recubrimiento",,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
8,P1_3,Cocina,¿Esta vivienda tiene un cuarto para cocinar?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
8,P1_3,Cocina,¿Esta vivienda tiene un cuarto para cocinar?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
9,P1_4,Dormitorios,"¿Cuántos cuartos se usan para dormir, sin contar pasillos?",Caracter ,2,01…08,01…08,Dormitorios,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
10,P1_5,Cuartos,"En total, ¿cuántos cuartos separados por paredes completas tiene esta vivienda?",Caracter ,2,01…12,01…12,Cuartos,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
11,P1_6,Agua entubada,¿Esta vivienda tiene …,Caracter,1,1...3,1,Agua entubada dentro de la vivienda,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
11,P1_6,Agua entubada,¿Esta vivienda tiene …,Caracter,1,1...3,2,Agua entubada sólo en el terreno,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
